id;username;password;email;name;surname;dateOfBirth;gender;profilePicture;biography;friendIDs;friendRequestIDs;postIDs;pictureIDs;chats;isPrivate;isBlocked;isAdmin
U00001;pera;pera12345;pera@gmail.com;Pera;Perić;2000-01-01;MALE;user1.png;Mlad lep zgodan;;FR000001|FR000002;PO00001|PO00002|PO00003|PO00021;;false;false;false
U00003;jova;jova12345;jova@gmail.com;Jova;Jovičić;1965-05-05;MALE;user3.jpg;Mlad lep zgodan 2.;U00002|U00004;FR000002|FR000003|FR000008;PO00005|PO00006|PO00024;C000001|C000005;false;false;false
U00004;masa;masa12345;masa@gmail.com;Maša;Mašić;1967-05-05;FEMALE;bear5.jpg;Mlada lepa zgodna;U00002|U00003|U00005;FR000004|FR000008|FR000009;PO00007|PO00008|PO00009;C000002|C000005|C000006;false;false;false
U00008;tea;tea12345;tea@gmail.com;Tea;Tešić;1975-02-05;FEMALE;user8.png;Mlada lepa zgodna;U00002;FR000007;PO00019|PO00020;C000008;true;false;false
U00007;mia;mia12345;mia@gmail.com;Mia;Mijić;1995-01-05;FEMALE;user7.png;Mlada lepa zgodna.;;FR000006;PO00015|PO00016|PO00017|PO00018;C000004;false;true;false
U00002;ana;ana12345;ana@gmail.com;Ana;Anić;1998-01-01;FEMALE;user2.jpg;Kuvam perem peglam;U00003|U00004|U00005|U00006|U00008;FR000010|FR000001|FR000003|FR000004|FR000005|FR000006|FR000007;PO00004|PO00022|PO00023|PO00026|PO00027|PO00028|PO00029|PO00031|PO00032|PO00033|PO00035|PO00036|PO00037|PO00038;C000001|C000002|C000003|C000004|C000007|C000008;true;false;false
U00005;steva;steva12345;steva@gmail.com;Steva;Stević;2000-01-01;MALE;user5.png;Da li si ikada mene voljela;U00002|U00004;FR000005|FR000009;PO00011|PO00012;C000003|C000006;true;false;false
U00006;nikola;nikola12345;nikola@gmail.com;Nikola;Nikolić;1998-01-01;FEMALE;user6.jpg;Kuvam perem peglam;U00002;FR000010;PO00013|PO00014;C000007;false;false;false
A00001;administrator1;administrator1;admin1@gmail.com;Stana;Stanić;1990-01-01;FEMALE;admin1.jpg;Ne nemoj mi prici;;;;;true;false;true
A00002;administrator2;administrator2;admin2@gmail.com;Marko;Marković;1978-02-02;MALE;admin2.png;Works at: Sam svoj gazda;;;;;true;false;true
